ID;SCORE2;SCORE3;SCORE4;SCORE5;SCORE6;COMPONENTE1;COMPONENTE2;COMPONENTE3;GRUPO2;GRUPO3;GRUPO4;GRUPO5
2281.0;2.0;3.5;3.75;2.125;0.0;0.18453364838454783;0.19126442745691427;0.037055005777144025;0;0;2;4
2282.0;0.0;0.0;6.5;5.166666666666667;4.75;0.8066093154618911;-0.2303137451586663;0.2104751693870269;0;0;2;3
2283.0;2.0;5.5;5.875;9.5;9.8;1.0823207611160137;0.5964804820530161;0.3345853901110057;0;0;0;1
2284.0;3.5;0.0;0.0;5.0;0.0;0.24792917377247947;-0.006289782938693089;-0.46609211055869937;0;0;2;3
2286.0;3.75;3.0;7.75;5.4;8.5;0.9374210101376447;0.6448585640246852;-0.04666055092810279;0;0;0;1
2287.0;1.5;3.0;0.8571428571428571;3.0;9.5;0.6670269148573331;0.13980064560238376;-0.2400561948673039;0;0;2;3
2288.0;3.5;7.25;7.5;8.692307692307692;10.0;1.0462884004078274;1.0050287756111809;0.32152618867144955;0;0;0;1
2289.0;3.25;2.5;3.0;2.25;0.0;0.1684673073465654;0.25617218217969595;-0.21025727077815182;0;0;2;3
2290.0;4.0;2.5;4.833333333333333;4.214285714285714;8.5;0.7868323629935329;0.5475509551143449;-0.30128665426333673;0;0;0;1
2291.0;4.0;3.3;1.9642857142857142;3.138888888888889;3.3333333333333335;0.3238025843190632;0.4525244665105776;-0.33821668023250995;0;0;2;3
2292.0;1.5;6.0;5.75;8.5;8.5;0.9496057263533609;0.5445117625039565;0.41291990257835676;0;0;0;1
2293.0;1.75;1.6666666666666667;6.5;5.166666666666667;4.25;0.7039989178636775;0.1500928058561128;0.11800839724029517;0;0;0;1
2294.0;1.2;0.6666666666666666;1.3181818181818181;2.275;7.5;0.6032379754030905;-0.12374628758999665;-0.312252573398356;0;0;2;3
2295.0;5.0;3.55;4.083333333333333;5.454545454545454;3.1666666666666665;0.47166198843273094;0.6790428593034078;-0.24896378520684875;0;0;0;1
2296.0;2.25;0.8333333333333334;2.0714285714285716;4.7;3.2;0.4776819790307071;0.0006227008027520353;-0.22343664190756807;0;0;2;3
2298.0;1.25;3.25;2.2142857142857144;3.5;2.5;0.3381711928107407;0.0623865120437895;0.031087650157999858;0;0;2;3
2299.0;2.0;1.8333333333333333;3.5;8.2;4.5;0.732638972675238;0.1243991255221855;0.038098949998377284;0;0;2;3
2300.0;2.5;3.5;0.0;2.75;4.25;0.2972895158095374;0.2172479582505022;-0.2783151671380509;0;0;2;3
2301.0;1.75;0.0;0.0;5.7;0.0;0.2946646042421099;-0.24703234010133868;-0.22961804956616547;0;1;2;3
2303.0;3.5;0.0;0.0;0.0;0.0;0.01648681116570319;-0.02073017336398489;-0.6299878356449191;1;1;2;3
2305.0;1.0;6.0;2.5;6.166666666666667;5.875;0.5815243235443823;0.33406641388157116;0.2762072796959434;0;0;0;1
2306.0;0.0;0.0;4.6;4.818181818181818;10.0;1.0037200556051822;-0.20749640204277126;0.0017852627136424881;0;0;2;3
2307.0;1.5;1.25;2.55;4.266666666666667;5.666666666666667;0.6074369285028649;-0.017250116537587665;-0.1417872881744361;0;0;2;3
2308.0;0.0;0.0;0.0;3.35;8.0;0.6585522634037638;-0.37602763161237784;-0.25126423776576134;0;0;2;3
2309.0;4.0;0.0;0.0;6.75;0.0;0.3061208308755757;0.06823547271375377;-0.46285576991307237;0;0;2;3
2310.0;2.5;0.0;0.0;3.1;8.0;0.6118699436797052;-0.029857701435790918;-0.5591203321886968;0;0;2;3
2311.0;0.0;0.0;0.0;8.25;7.5;0.8465388518644018;-0.36935100684881217;-0.07701965703009624;0;0;2;3
2312.0;2.5;4.833333333333333;7.333333333333333;9.0;10.0;1.1207858213248518;0.6519950664159572;0.29404357632410677;0;0;0;1
2500.0;0.0;0.0;6.5;5.642857142857143;9.0;0.9559775083048957;-0.1642110116040867;0.18477387997939348;0;0;2;3
2501.0;0.0;0.0;0.0;0.0;6.5;0.32903899753277904;-0.4077871767671924;-0.2988846986865016;0;1;2;3
2502.0;0.0;0.0;0.0;2.7142857142857144;0.0;0.08541221432281368;-0.49791814716322474;-0.08257071535002694;1;1;1;4
2526.0;0.0;0.0;0.0;2.0;7.5;0.4611782168290829;-0.3868374225682558;-0.24657681058993094;0;0;2;3
2531.0;0.0;0.0;0.0;0.0;7.0;0.34193913993882885;-0.4001599710041459;-0.3029803242916339;0;1;2;3
2709.0;4.0;4.25;1.9;5.5;0.0;0.0042551537135764594;0.4911719279942013;-0.060859416403020145;1;2;3;2
2719.0;0.0;2.5;0.0;0.0;0.0;-0.21140266439120345;-0.2875116661429298;0.025268831068871733;1;1;1;4
2721.0;0.0;0.0;0.0;3.2777777777777777;0.0;0.00042445886086092677;-0.4956385045285383;-0.023268284356598556;1;1;1;4
2722.0;0.0;1.3;5.0;5.076923076923077;0.0;0.22640544742272928;-0.23145997778835614;0.3835661153970218;1;1;1;4
2723.0;0.0;0.0;0.9166666666666666;6.142857142857143;0.0;0.1598773852215058;-0.4605980033859468;0.12141059773035112;1;1;1;4
2724.0;0.0;3.5;2.75;3.625;0.0;0.019934118072656305;-0.1097488721326076;0.3561729732852272;1;1;1;4
2727.0;3.0;3.5;0.0;1.4;0.0;-0.22173404058274837;0.2198919332442698;-0.22274759079291212;1;2;3;2
2729.0;0.0;0.0;0.0;5.2727272727272725;0.0;0.0849419698598324;-0.489830980611692;0.04500130321924001;1;1;1;4
2730.0;0.0;0.0;0.3333333333333333;3.5576923076923075;0.0;0.02043779143797919;-0.4850811646598011;0.005359604940283119;1;1;1;4
2731.0;2.5;0.0;0.0;3.4;0.0;-0.0337567841099235;-0.14836580056828758;-0.3171849644961323;1;1;1;4
2732.0;0.0;0.0;0.0;0.375;0.0;-0.13392534363509498;-0.5040220435348183;-0.11842449988141093;1;1;1;4
2733.0;4.5;6.0;3.875;0.0;0.0;-0.23420162029453803;0.7546060936216163;-0.08524246944721124;1;2;3;2
2734.0;3.0;2.8333333333333335;0.0;3.875;0.0;-0.09744587797025188;0.16905205757803;-0.18089656554685907;1;2;3;2
2735.0;2.5;1.2142857142857142;0.0;3.5;0.0;-0.06404763853943427;-0.042355183554724424;-0.23604026297014674;1;1;1;4
2736.0;0.0;0.0;0.0;0.9;0.0;-0.11263495857969567;-0.502488120900887;-0.100108528725012;1;1;1;4
2737.0;0.0;1.25;0.0;0.0;0.0;-0.18676124812550599;-0.39627655285201835;-0.05073211429866151;1;1;1;4
2738.0;0.0;0.0;0.0;3.5;0.0;0.0017481928019250081;-0.4949440790349322;-0.012689222094611624;1;1;1;4
2740.0;1.5;0.0;0.0;0.0;0.0;-0.1753355916857285;-0.2969523688286141;-0.3094157761685815;1;1;1;4
2741.0;0.0;0.0;3.0;3.5;0.0;0.10924150453229012;-0.40746204322471385;0.14621401086671143;1;1;1;4
2743.0;0.0;0.0;0.0;1.6571428571428573;0.0;-0.08254888960385437;-0.5002723015853832;-0.07346631224579375;1;1;1;4
2744.0;0.0;2.0;0.0;5.75;0.0;0.04469791541377255;-0.3142942282182504;0.19066953408310688;1;1;1;4
2745.0;0.42857142857142855;0.0;0.0;4.375;0.0;0.031136262626258904;-0.4329198976939565;-0.03350480192329332;1;1;1;4
2747.0;3.0;0.0;0.0;0.0;0.0;-0.19960112405591335;-0.08879841134648594;-0.48803640084584576;1;1;1;0
2751.0;2.0;1.9;3.75;6.261904761904762;0.0;0.1751787821595906;0.06535770448713502;0.16080752467481374;1;1;1;4
